,Date,Open,High,Low,Close,Adj Close,Volume
0,2022-06-07,66200,66400,65400,65500,63885.95703,19355755
1,2022-06-08,65400,65700,65300,65300,63690.88281,12483180
2,2022-06-09,65100,65200,64500,65200,63593.34375,25790725
3,2022-06-10,64000,64400,63800,63800,62227.84375,22193552
4,2022-06-13,62400,62800,62100,62100,60569.73828,22157816
5,2022-06-14,61200,62200,61100,61900,60374.66406,24606419
6,2022-06-15,61300,61500,60200,60700,59204.23828,26811224
7,2022-06-16,61300,61800,60500,60900,59399.30859,23394895
8,2022-06-17,59400,59900,59400,59800,58326.41016,29053450
9,2022-06-20,59800,59900,58100,58700,57253.51953,34111306
10,2022-06-21,58700,59200,58200,58500,57058.44922,25148109
11,2022-06-22,59000,59100,57600,57600,56180.62109,23334687
12,2022-06-23,57700,58000,56800,57400,55985.55469,28338608
13,2022-06-24,57900,59100,57700,58400,56960.91016,23256103
14,2022-06-27,59000,59900,58300,58800,57351.05469,18122236
15,2022-06-28,59200,59500,58700,59400,57936.26953,13540538
16,2022-06-29,58500,58800,58000,58000,56916.67969,14677138
17,2022-06-30,57200,57600,57000,57000,55935.35938,18915142
18,2022-07-01,56900,57500,55900,56200,55150.30078,24982097
19,2022-07-04,56100,57400,55700,57100,56033.48828,17807126
20,2022-07-05,57600,58200,57200,57200,56131.62109,14216539
21,2022-07-06,57300,57300,56400,56400,55346.56641,16820461
22,2022-07-07,56400,58700,56300,58200,57112.94141,21322833
23,2022-07-08,58600,59300,58200,58700,57603.60156,15339271
24,2022-07-11,59300,59600,58700,58800,57701.73438,13042624
25,2022-07-12,58600,58700,58100,58100,57014.80859,9336061
26,2022-07-13,58300,58600,58000,58000,56916.67969,10841315
27,2022-07-14,57500,58200,57400,57500,56426.01953,15067012
28,2022-07-15,58400,60000,58100,60000,58879.32031,18685583
29,2022-07-18,60600,62000,60500,61900,60743.83203,20832517
30,2022-07-19,61400,61500,60200,60900,59762.51172,15248261
31,2022-07-20,61800,62100,60500,60500,59369.98438,16782238
32,2022-07-21,61100,61900,60700,61800,60645.70313,12291374
33,2022-07-22,61800,62200,61200,61300,60155.03906,10261310
34,2022-07-25,60900,61900,60800,61100,59958.77734,9193681
35,2022-07-26,60800,61900,60800,61700,60547.57031,6597211
36,2022-07-27,61300,61900,61200,61800,60645.70313,7320997
37,2022-07-28,62300,62600,61600,61900,60743.83203,10745302
38,2022-07-29,62400,62600,61300,61400,60253.17188,15093120
39,2022-08-01,61000,61700,60300,61300,60155.03906,13154816
40,2022-08-02,61200,61900,61000,61700,60547.57031,13614895
41,2022-08-03,61600,61600,61000,61300,60155.03906,10053861
42,2022-08-04,61700,61800,61200,61500,60351.30469,9125439
43,2022-08-05,61700,61900,61200,61500,60351.30469,9567620
44,2022-08-08,61400,61400,60600,60800,59664.37891,11313150
45,2022-08-09,60600,60700,59600,60000,58879.32031,18251170
46,2022-08-10,58900,59200,58600,59100,57996.13281,18084349
47,2022-08-11,59600,60000,59300,59900,58781.1875,15141941
48,2022-08-12,59500,60700,59400,60200,59075.58594,10786658
49,2022-08-16,60500,61600,60300,61000,59860.64453,15036727
50,2022-08-17,61100,61200,60300,60400,59271.85156,9061518
51,2022-08-18,60300,61900,60000,61500,60351.30469,16372754
52,2022-08-19,61400,61600,60600,60900,59762.51172,6923679
53,2022-08-22,60300,60400,59800,60000,58879.32031,8259865
54,2022-08-23,59000,59600,59000,59100,57996.13281,9041629
55,2022-08-24,59200,59500,59000,59000,57898.00391,8888486
56,2022-08-25,59200,59700,59000,59700,58584.92578,5767902
57,2022-08-26,60300,60900,59900,60000,58879.32031,9499995
58,2022-08-29,58700,58900,58600,58600,57505.46875,9841329
59,2022-08-30,58700,59000,58300,58800,57701.73438,9690044
60,2022-08-31,58200,59900,58200,59700,58584.92578,14203512
61,2022-09-01,58700,58900,58300,58400,57309.20703,14905777
62,2022-09-02,58300,58600,57500,57500,56426.01953,15040310
63,2022-09-05,57400,57800,56800,57100,56033.48828,11425977
64,2022-09-06,57200,57600,56900,57100,56033.48828,7503086
65,2022-09-07,56700,56700,55900,56000,54954.03125,17384854
66,2022-09-08,56200,56400,55600,55600,54561.50391,18000016
67,2022-09-13,57000,58500,56800,58100,57014.80859,17166581
68,2022-09-14,56200,57200,56100,56800,55739.08984,12524961
69,2022-09-15,57000,57100,56000,56000,54954.03125,11664819
70,2022-09-16,55600,56400,55500,56200,55150.30078,13456503
71,2022-09-19,56300,57000,56000,56400,55346.56641,12278653
72,2022-09-20,56400,57000,55800,55800,54757.76563,14041465
73,2022-09-21,55400,55500,55000,55300,54267.10547,11863700
74,2022-09-22,54600,54700,54300,54400,53383.92188,12786510
75,2022-09-23,54400,54900,54200,54500,53482.04688,10555964
76,2022-09-26,53700,54200,53600,53900,52893.25781,15008449
77,2022-09-27,53800,54200,53500,54200,53187.65625,16631289
78,2022-09-28,53900,54400,52500,52900,51911.9375,19991129
79,2022-09-29,53300,53700,52600,52600,51972.20703,13882080
80,2022-09-30,52300,53600,51800,53100,52466.23828,22503249
81,2022-10-04,55300,55400,54500,55200,54541.17578,19148435
82,2022-10-05,56900,57200,55400,56000,55331.625,22458970
83,2022-10-06,56700,57300,56300,56300,55628.04688,14944446
84,2022-10-07,55900,56900,55200,56200,55529.24219,16886813
85,2022-10-11,54400,55700,54000,55400,54738.78906,21437877
86,2022-10-12,55700,57000,55200,55800,55134.01172,18408910
87,2022-10-13,55400,56100,55200,55200,54541.17578,13784602
88,2022-10-14,56200,56500,55800,56300,55628.04688,12924326
89,2022-10-17,55800,57000,55700,56600,55924.46484,13641878
90,2022-10-18,56700,57100,55800,56500,55825.66016,14820702
91,2022-10-19,56700,56900,55700,55800,55134.01172,12660652
92,2022-10-20,55200,56000,55100,55500,54837.59375,17107653
93,2022-10-21,55100,56300,55100,55900,55232.82031,11456060
94,2022-10-24,57000,57500,56700,57500,56813.72656,16944503
95,2022-10-25,57000,58600,57000,57700,57011.33984,17405678
96,2022-10-26,58000,59600,57700,59400,58691.04688,20824967
97,2022-10-27,59700,60100,58900,59500,58789.85547,21756712
98,2022-10-28,58900,59200,57200,57300,56616.10938,20924937
99,2022-10-31,58100,59900,58000,59400,58691.04688,18999514
100,2022-11-01,59900,60300,59500,60000,59283.88672,17201647
101,2022-11-02,59700,60000,59300,59600,58888.66016,13202919
102,2022-11-03,58600,59800,58100,59200,58493.43359,17492162
103,2022-11-04,59100,59500,58400,59400,58691.04688,12445841
104,2022-11-07,59700,60300,59400,60200,59481.5,12437246
105,2022-11-08,60500,61900,60500,61800,61062.40625,18273898
106,2022-11-09,62000,62200,61300,62000,61260.01563,14045592
107,2022-11-10,61400,61500,60400,60400,59679.11328,21087633
108,2022-11-11,63100,63200,62300,62900,62149.27344,20037163
109,2022-11-14,62900,62900,61700,61900,61161.20703,15973416
110,2022-11-15,62200,62500,61600,62400,61655.24219,12310986
111,2022-11-16,62400,62700,61700,62700,61951.66016,12909260
112,2022-11-17,62000,62000,61300,61400,60667.17578,13298296
113,2022-11-18,61800,62400,61400,61800,61062.40625,12236503
114,2022-11-21,61400,61800,60800,61400,60667.17578,9378097
115,2022-11-22,60900,61200,60300,60600,59876.72266,9411289
116,2022-11-23,61200,61300,60700,61000,60271.95313,8765050
117,2022-11-24,61200,61700,60900,61400,60667.17578,8125010
118,2022-11-25,61400,61700,60800,61000,60271.95313,6677933
119,2022-11-28,60500,60500,59800,60100,59382.69141,8589032
120,2022-11-29,59900,60600,59800,60600,59876.72266,7014160
121,2022-11-30,60400,62200,60200,62200,61457.62891,19768903
122,2022-12-01,63100,63200,62300,62600,61852.85156,16631445
123,2022-12-02,62500,62500,60400,60400,59679.11328,15331184
124,2022-12-05,60900,61100,60000,60300,59580.30859,13767787
125,2022-12-06,59800,60100,59200,59200,58493.43359,13888300
126,2022-12-07,58800,59600,58500,58900,58197.01563,12100662
127,2022-12-08,58700,59200,58600,59200,58493.43359,12986815
128,2022-12-09,59300,60600,59300,60400,59679.11328,10529632
129,2022-12-12,59900,60000,59400,59500,58789.85547,9036472
130,2022-12-13,59600,60300,59400,59700,58987.46875,9040873
131,2022-12-14,59800,60600,59800,60500,59777.92188,8207485
132,2022-12-15,59800,60200,59300,59300,58592.23828,8716039
133,2022-12-16,58300,59500,58300,59500,58789.85547,13033596
134,2022-12-19,59500,59900,59100,59500,58789.85547,7696187
135,2022-12-20,59000,59100,58500,58600,57900.59375,9284761
136,2022-12-21,58700,59100,58000,58000,57307.75781,10356971
137,2022-12-22,58100,59100,58100,59100,58394.62891,10720630
138,2022-12-23,58200,58400,57700,58100,57406.5625,9829407
139,2022-12-26,58000,58100,57700,57900,57208.94922,6756411
140,2022-12-27,58000,58400,57900,58100,57406.5625,10667027
141,2022-12-28,57600,57600,56400,56600,56274.12109,14665410
142,2022-12-29,56000,56200,55300,55300,54981.60547,11295935
143,2023-01-02,55500,56100,55200,55500,55180.45313,10031448
144,2023-01-03,55400,56000,54500,55400,55081.03125,13547030
145,2023-01-04,55700,58000,55600,57800,57467.21094,20188071
146,2023-01-05,58200,58800,57600,58200,57864.91016,15682826
147,2023-01-06,58300,59400,57900,59000,58660.30469,17334989
148,2023-01-09,59700,60700,59600,60700,60350.51563,18640107
149,2023-01-10,60200,61100,59900,60400,60052.24219,14859797
150,2023-01-11,61000,61200,60300,60500,60151.66797,12310751
151,2023-01-12,61100,61200,59900,60500,60151.66797,16102561
152,2023-01-13,60500,61200,60400,60800,60449.94141,12510328
153,2023-01-16,61300,61600,60800,61100,60748.21094,10039972
154,2023-01-17,61200,61500,60600,61000,60648.78906,9831456
155,2023-01-18,60700,61000,59900,60400,60052.24219,11584041
156,2023-01-19,60500,61500,60400,61500,61145.91016,12808490
157,2023-01-20,62100,62300,61100,61800,61444.18359,9646327
158,2023-01-25,63500,63700,63000,63300,62935.54688,39217
159,2023-01-26,63800,63900,63300,63800,63432.66797,54188
160,2023-01-27,64400,65000,63900,64600,64228.0625,44282
161,2023-01-30,64900,64900,63100,63300,62935.54688,59628
162,2023-01-31,63500,63700,61000,61400,61046.48438,163847
163,2023-02-01,62600,62700,61000,61000,60648.78906,98585
164,2023-02-02,63200,63900,62600,63500,63134.39453,65992
165,2023-02-03,63900,64000,63000,63500,63134.39453,47567
166,2023-02-06,62800,63000,61600,61600,61245.33203,144104
167,2023-02-07,61900,62500,61600,62000,61643.03125,32873
168,2023-02-08,62800,63300,62400,63100,62736.69922,42558
169,2023-02-09,63000,63300,62300,63300,62935.54688,48035
170,2023-02-10,62600,63000,62400,62900,62537.84766,44786
171,2023-02-13,62900,63000,62300,62900,62537.84766,59395
172,2023-02-14,63600,63900,63200,63200,62836.12109,70606
173,2023-02-15,63900,63900,62000,62200,61841.87891,58370
174,2023-02-16,62500,63700,62400,63700,63333.24219,41448
175,2023-02-17,62900,63300,62400,62600,62239.57422,28613
176,2023-02-20,62900,63000,61800,62700,62339,29846
177,2023-02-21,62700,62800,62000,62100,61742.45313,60971
178,2023-02-22,61500,61800,61000,61100,60748.21094,39178
179,2023-02-23,61700,62500,61500,62000,61643.03125,37145
180,2023-02-24,62300,62600,61300,61300,60947.0625,50792
181,2023-02-27,60800,60800,60200,60500,60151.66797,11155697
182,2023-02-28,60800,61400,60500,60600,60251.08984,13715861
183,2023-03-02,60900,61800,60500,60800,60449.94141,13095682
184,2023-03-03,61000,61200,60500,60500,60151.66797,10711405
185,2023-03-06,61100,61600,60800,61500,61145.91016,13630602
186,2023-03-07,61400,61400,60700,60700,60350.51563,11473280
187,2023-03-08,60100,60500,59900,60300,59952.82031,14161857
188,2023-03-09,60500,60800,59900,60100,59753.96875,14334499
189,2023-03-10,59500,59700,59100,59500,59157.42578,11902471
190,2023-03-13,59900,60200,59300,60000,59654.54688,12779724
191,2023-03-14,59400,59500,59000,59000,58660.30469,12147346
192,2023-03-15,60000,60300,59600,59800,59455.69922,10482149
193,2023-03-16,59200,60200,59100,59900,59555.12109,10611939
194,2023-03-17,60800,61300,60600,61300,60947.0625,14090110
195,2023-03-20,61100,61200,60200,60200,59853.39453,9618009
196,2023-03-21,60500,60700,60100,60300,59952.82031,8318514
197,2023-03-22,61000,61200,60500,61100,60748.21094,8978591
198,2023-03-23,60600,62300,60600,62300,61941.30469,15381057
199,2023-03-24,62700,63300,62300,63000,62637.27344,18278602
200,2023-03-27,62600,62800,62000,62100,61742.45313,11039331
201,2023-03-28,62400,62900,62100,62900,62537.84766,11614118
202,2023-03-29,62500,62700,62200,62700,62339,11216008
203,2023-03-30,63700,63700,63100,63200,63200,15684377
204,2023-03-31,64000,64000,63700,64000,64000,14094479
205,2023-04-03,64000,64000,63000,63100,63100,11973133
206,2023-04-04,63400,63800,62800,63600,63600,11120514
207,2023-04-05,63700,64000,63400,63900,63900,9176149
208,2023-04-06,63500,63600,62300,62300,62300,14992747
209,2023-04-07,63800,65200,63800,65000,65000,27476120
210,2023-04-10,64800,66300,64700,65700,65700,18777166
211,2023-04-11,66200,66200,65400,65900,65900,16323183
212,2023-04-12,65800,66200,65300,66000,66000,15021313
213,2023-04-13,65600,66100,65400,66100,66100,15091022
214,2023-04-14,66600,66600,65000,65100,65100,16176490
215,2023-04-17,65000,65600,64700,65300,65300,13486618
216,2023-04-18,65900,66000,64800,65600,65600,14802060
217,2023-04-19,65500,65800,65300,65500,65500,10255985
218,2023-04-20,65100,65300,64600,65300,65300,9501169
219,2023-04-21,65800,65900,65400,65700,65700,10538622
220,2023-04-24,65300,65700,64800,65200,65200,12986581
221,2023-04-25,65300,65400,63400,63600,63600,16193271
222,2023-04-26,63600,64300,63300,64100,64100,12664541
223,2023-04-27,64100,65000,63300,64600,64600,14779601
224,2023-04-28,65200,65900,65000,65500,65500,19699481
225,2023-05-02,66000,66300,65100,65700,65700,14396948
226,2023-05-03,65100,65600,64900,65400,65400,8876749
227,2023-05-04,65600,65700,64700,65100,65100,9791064
228,2023-05-08,66300,66300,65400,65900,65900,9405365
229,2023-05-09,65800,65800,65100,65300,65300,9366861
230,2023-05-10,65500,65500,64300,64600,64600,13057727
231,2023-05-11,64700,65100,64200,64200,64200,11648905
232,2023-05-12,63700,64600,63600,64100,64100,8693913
233,2023-05-15,64100,64600,63900,64500,64500,8172021
234,2023-05-16,65800,65900,65300,65400,65400,12334657
235,2023-05-17,65900,65900,64800,65000,65000,10745504
236,2023-05-18,66000,66200,65700,66200,66200,14431704
237,2023-05-19,67800,68400,67500,68400,68400,20349345
238,2023-05-22,68400,69000,68000,68500,68500,14470308
239,2023-05-23,68500,68700,68100,68400,68400,8561643
240,2023-05-24,68100,68700,68000,68500,68500,8192896
241,2023-05-25,69900,70000,68700,68800,68800,14231160
242,2023-05-26,69800,70400,69500,70300,70300,19549511
243,2023-05-30,71300,72300,71200,72300,72300,27476897
244,2023-05-31,72400,72500,71000,71400,71400,25666087
245,2023-06-01,70900,71600,70600,70900,70900,14669296
246,2023-06-02,71700,72200,71600,72200,72200,12161798
247,2023-06-05,72700,72700,71400,71700,71700,13539364
